CompanyID,CompanyName,Industry,2025_Revenue,2026_Predicted_Revenue,Growth_%
653,Company_653,Energy,35.9,66.26746381206512,84.58903568820368
853,Company_853,Energy,69.3,93.43885536963874,34.832403130791846
764,Company_764,Energy,62170.9,78863.39875541828,26.849376083373862
617,Company_617,Healthcare,9950.0,12555.634219795858,26.18727859091315
535,Company_535,Energy,59585.9,73759.15904090824,23.786263261792204
685,Company_685,Energy,13754.1,17020.024998138364,23.74510144712023
403,Company_403,Retail,10010.2,12342.153708990429,23.2957753989973
732,Company_732,Transportation,3310.2,4079.505139495336,23.24044285829667
581,Company_581,Energy,11619.0,14136.395978054117,21.666201721784294
372,Company_372,Energy,22416.1,27145.438909905428,21.097955977647448
141,Company_141,Energy,7528.4,9115.081937724073,21.075951566389588
320,Company_320,Technology,10151.2,12252.563447023815,20.70064078162004
411,Company_411,Healthcare,11175.9,13455.96817351214,20.401651531528913
34,Company_34,Energy,21020.8,25234.180621214706,20.043864273551463
240,Company_240,Transportation,4040.5,4848.956966777225,20.008834717911764
47,Company_47,Consumer Goods,296.1,355.2526322929671,19.977248325892297
970,Company_970,Healthcare,6722.7,8063.154490615307,19.93922814665695
921,Company_921,Healthcare,6613.5,7884.44930859386,19.217499184907542
178,Company_178,Transportation,6860.0,8165.512172290623,19.030789683536785
399,Company_399,Energy,29065.2,34524.39565381969,18.782584168764316
428,Company_428,Manufacturing,6717.6,7969.045527757859,18.62935464686583
890,Company_890,Utilities,202.9,240.67314749469284,18.61663257500879
882,Company_882,Energy,11731.7,13893.344450096887,18.425671045942927
919,Company_919,Consumer Goods,13844.0,16310.769444371535,17.81832883828038
742,Company_742,Transportation,1653.7,1942.2332361435306,17.447737566882175
850,Company_850,Healthcare,6212.6,7292.869527103697,17.388364406266238
858,Company_858,Finance,4774.0,5603.8183900058275,17.38203581914176
796,Company_796,Healthcare,12278.1,14405.880791175352,17.329886474090873
134,Company_134,Healthcare,9486.5,11119.828954833758,17.217403202801435
985,Company_985,Healthcare,13583.3,15888.559353070961,16.971276148439348
816,Company_816,Manufacturing,5486.0,6412.401326072856,16.886644660460373
125,Company_125,Finance,5626.2,6550.238931977242,16.423855034965733
731,Company_731,Finance,7717.8,8979.726240052487,16.350854389236396
986,Company_986,Retail,6466.6,7502.175610521529,16.014220927868255
953,Company_953,Technology,6218.1,7213.809421826246,16.013081517284146
293,Company_293,Finance,9677.8,11224.241566455108,15.979267668841151
835,Company_835,Healthcare,5191.5,6021.010057399537,15.9782347568051
883,Company_883,Technology,7897.7,9145.568943470142,15.80040953024478
544,Company_544,Energy,11745.8,13597.015091571853,15.760655651993513
582,Company_582,Healthcare,4532.4,5246.720552293495,15.760315777369497
574,Company_574,Transportation,1971.9,2278.326776820476,15.539671221688517
585,Company_585,Energy,12717.0,14678.842400721816,15.42692774020458
961,Company_961,Transportation,140.6,162.00565433478778,15.224505216776517
394,Company_394,Transportation,2782.3,3202.1633038430386,15.090511585488208
928,Company_928,Healthcare,7429.9,8550.643218900797,15.084230190188263
185,Company_185,Transportation,793.8,913.3836785430051,15.06471133068848
584,Company_584,Healthcare,5001.4,5751.198121477528,14.991764735424645
316,Company_316,Healthcare,27189.4,31245.267884721517,14.917092266550625
258,Company_258,Healthcare,10126.6,11633.449223070975,14.880110037633306
6,Company_6,Transportation,3297.0,3782.8361519999394,14.735703730662403
917,Company_917,Energy,15478.0,17753.069332228166,14.698729372193862
802,Company_802,Consumer Goods,3595.3,4120.71136463743,14.61383930791394
35,Company_35,Healthcare,2196.1,2516.986778339403,14.611665149100816
591,Company_591,Manufacturing,2138.3,2450.1982667373272,14.58627258744456
632,Company_632,Transportation,2232.6,2557.0192090692017,14.53100461655477
245,Company_245,Finance,4420.6,5061.255707426652,14.492505710235083
862,Company_862,Finance,5949.0,6802.963564806662,14.354741381856822
722,Company_722,Healthcare,5365.9,6131.8150985353095,14.27374901759835
745,Company_745,Utilities,3808.0,4349.7937960762865,14.227778258305843
216,Company_216,Transportation,3973.8,4538.809221310464,14.218360795975226
996,Company_996,Healthcare,5503.9,6286.353730546568,14.216350779384952
453,Company_453,Energy,3910.0,4465.283304059061,14.201619029643512
309,Company_309,Transportation,4719.9,5389.852908004397,14.194218267429346
889,Company_889,Healthcare,3933.7,4491.641638549532,14.18363470904066
333,Company_333,Technology,22843.0,26078.253269310557,14.162996407260678
305,Company_305,Manufacturing,9443.5,10773.803146647613,14.086971426352656
291,Company_291,Technology,25251.7,28800.585542310142,14.054046033772543
423,Company_423,Healthcare,5007.2,5704.550877722624,13.926962728123987
828,Company_828,Technology,24884.9,28348.388910253314,13.918034270795996
339,Company_339,Finance,3562.5,4058.212437023065,13.914735074331647
268,Company_268,Technology,8550.5,9738.418286367973,13.89296867280244
639,Company_639,Healthcare,2788.2,3175.0590954995573,13.874868929759613
78,Company_78,Technology,6942.5,7903.9957602124905,13.849416783759317
956,Company_956,Finance,5813.1,6617.854791968718,13.843814693859002
706,Company_706,Healthcare,10314.8,11737.275967710259,13.79063062502675
863,Company_863,Healthcare,4213.9,4794.878988039658,13.787203968761915
682,Company_682,Technology,8909.8,10138.133990117418,13.786325059119381
285,Company_285,Energy,37684.0,42834.989517140784,13.668903293548414
282,Company_282,Transportation,2359.5,2680.7722418431727,13.616115356777819
190,Company_190,Technology,6410.6,7283.166307330707,13.611304828420224
754,Company_754,Transportation,2340.5,2658.1734345138707,13.57288761007779
814,Company_814,Consumer Goods,1967.0,2231.9910838180635,13.47183954336876
782,Company_782,Finance,13768.4,15619.322945149122,13.443268245759295
27,Company_27,Healthcare,6291.5,7136.902618739907,13.43721876722414
587,Company_587,Healthcare,4663.1,5287.349680504516,13.387010368735726
75,Company_75,Technology,5019.2,5689.9489531139325,13.363662597902707
593,Company_593,Manufacturing,7945.7,9004.769847292557,13.328842610374881
113,Company_113,Manufacturing,6715.5,7610.204191113579,13.322972096099758
665,Company_665,Technology,11384.2,12899.038689254106,13.306501021188188
397,Company_397,Consumer Goods,8082.2,9153.534443964045,13.25548048754108
557,Company_557,Healthcare,11534.9,13062.35783045517,13.2420552449971
28,Company_28,Technology,6674.2,7556.8811497349325,13.225272687886678
157,Company_157,Consumer Goods,6055.5,6855.580195826071,13.212454724235338
149,Company_149,Technology,26430.6,29903.68167263773,13.140381499616849
46,Company_46,Healthcare,12120.4,13704.360052262165,13.06854602374646
370,Company_370,Technology,7425.1,8393.11180484331,13.037020442058832
148,Company_148,Healthcare,19327.6,21844.57238007113,13.02268455509806
980,Company_980,Retail,3785.2,4277.301928206569,13.0006849890777
275,Company_275,Healthcare,6855.6,7746.803967863485,12.999649452469288
96,Company_96,Manufacturing,2353.3,2658.098501356225,12.95196113356668
638,Company_638,Healthcare,10604.8,11976.93234940042,12.938785732879648
250,Company_250,Manufacturing,3429.0,3870.038942981675,12.86202808345509
110,Company_110,Healthcare,4373.5,4935.235875709163,12.844080843927367
694,Company_694,Consumer Goods,6571.9,7415.390265069256,12.834800667527757
768,Company_768,Healthcare,10405.1,11738.879082632826,12.818512869965934
819,Company_819,Finance,2919.5,3292.712497539421,12.783438860743992
321,Company_321,Energy,4923.2,5549.09845899572,12.71324461723513
417,Company_417,Transportation,568.0,639.728401280285,12.628239662022
2,Company_2,Retail,4371.5,4923.194299059218,12.620251608354522
129,Company_129,Healthcare,2423.2,2728.545413462229,12.600916699497745
120,Company_120,Consumer Goods,3631.9,4088.957137115158,12.584518767453886
715,Company_715,Technology,4688.2,5275.994577080451,12.537745341078685
71,Company_71,Consumer Goods,4797.4,5398.145766291408,12.522319720919842
354,Company_354,Manufacturing,2071.6,2330.6563203763467,12.50513228308297
680,Company_680,Healthcare,4976.8,5587.187923679076,12.264666526263387
989,Company_989,Energy,6509.1,7304.113586834112,12.21387882862625
455,Company_455,Consumer Goods,3243.5,3639.031322961826,12.19458372011179
348,Company_348,Healthcare,6299.4,7066.630417514899,12.179420540287952
270,Company_270,Manufacturing,7241.8,8123.758782544658,12.178723280740394
457,Company_457,Transportation,3671.9,4118.4582662375005,12.16150402346198
751,Company_751,Transportation,223.8,250.95431647183335,12.133296010649392
817,Company_817,Energy,25950.8,29082.35214246122,12.067266297999367
323,Company_323,Healthcare,3721.2,4168.272219457719,12.014194868798219
610,Company_610,Technology,7669.6,8590.880254275835,12.012103033741454
337,Company_337,Finance,6490.4,7269.6747970492615,12.006575820431129
126,Company_126,Manufacturing,4331.6,4851.128394017273,11.993914350754295
14,Company_14,Transportation,1623.4,1817.9849128255182,11.986258027936314
68,Company_68,Manufacturing,6162.4,6899.373061611638,11.959188978509
723,Company_723,Manufacturing,15963.6,17863.619432049516,11.902198952927384
52,Company_52,Consumer Goods,2495.3,2792.1121930401346,11.894850039679973
908,Company_908,Technology,8189.3,9160.449336051035,11.858758820058306
15,Company_15,Healthcare,11489.1,12851.371119992516,11.857074270330278
39,Company_39,Transportation,2744.5,3069.548658724418,11.843638503349178
808,Company_808,Technology,12974.1,14503.294861510883,11.78651977024135
554,Company_554,Manufacturing,2035.9,2275.375895254398,11.762655103610097
158,Company_158,Energy,15874.9,17740.466862522902,11.7516763099163
188,Company_188,Consumer Goods,6856.4,7658.581610593503,11.699749293995437
717,Company_717,Energy,24550.0,27411.95400036131,11.65765376929251
945,Company_945,Finance,3622.1,4043.7887459804388,11.642106677906156
783,Company_783,Manufacturing,5708.4,6372.9458200698145,11.641542640141108
692,Company_692,Healthcare,2820.5,3148.716450260334,11.636817949311617
792,Company_792,Finance,2691.9,3004.2130801820067,11.601956988818554
257,Company_257,Finance,2922.7,3260.702928975149,11.56474934051217
542,Company_542,Transportation,1082.2,1206.839038027935,11.517190725183415
613,Company_613,Consumer Goods,4774.7,5323.484584861407,11.493592997704715
559,Company_559,Manufacturing,4629.8,5161.00113577627,11.473522307146517
903,Company_903,Manufacturing,8544.4,9524.373528084672,11.469190675584858
326,Company_326,Finance,5512.2,6143.0941913867,11.445415467267155
876,Company_876,Healthcare,3361.4,3745.4537391388917,11.425410220113394
691,Company_691,Healthcare,7986.6,8895.079101003796,11.375041957826799
737,Company_737,Technology,5984.4,6664.745381336486,11.368648174194352
664,Company_664,Finance,7642.8,8511.274228945733,11.363299169751041
668,Company_668,Retail,6691.6,7451.654721132516,11.358340623057499
666,Company_666,Finance,7614.6,8476.076060933208,11.31347754226365
659,Company_659,Technology,8177.9,9102.151270294984,11.301816729172335
498,Company_498,Technology,36032.9,40080.69604544818,11.233611631170902
253,Company_253,Technology,3360.5,3737.0450769642243,11.205031303800753
511,Company_511,Healthcare,3630.3,4037.016801804007,11.203393708619314
451,Company_451,Consumer Goods,7488.5,8325.919190605819,11.18273607005166
569,Company_569,Energy,12923.3,14363.352336523923,11.14306977725445
430,Company_430,Healthcare,21277.3,23647.34340932225,11.138835328365207
564,Company_564,Energy,10246.7,11385.214570780801,11.111036438861296
820,Company_820,Energy,2098.4,2331.062747168977,11.0876261517812
222,Company_222,Technology,24496.5,27211.090121937454,11.081542758914349
230,Company_230,Transportation,549.4,610.2654566620128,11.078532337461372
98,Company_98,Energy,22508.4,24997.65144861171,11.059210999501106
